T [C],RH [%],Short_wave_global [W/m2],,,,,,,,,,,,,,
9.27921,84.4606,34.6573,,,,,,,,,,,,,,
9.81205,81.768,48.435,,,,,,,,,,,,,,
9.64982,83.7669,32.7536,,,,,,,,,,,,,,
9.54757,86.4186,9.90851,,,,,,,,,,,,,,
9.55528,93.6415,2.769,,,,,,,,,,,,,,
10.0442,98.8529,0.387081,,,,,,,,,,,,,,
10.2193,98.9467,0,,,,,,,,,,,,,,
10.6223,97.2816,0,,,,,,,,,,,,,,
11.1243,91.4921,0,,,,,,,,,,,,,,
11.1522,89.4097,0,,,,,,,,,,,,,,
11.0645,87.1416,0,,,,,,,,,,,,,,
11.0502,81.1252,0,,,,,,,,,,,,,,
10.9267,85.8397,0,,,,,,,,,,,,,,
11.0323,81.155,0,,,,,,,,,,,,,,
11.0779,84.0648,0,,,,,,,,,,,,,,
10.9918,83.8435,0,,,,,,,,,,,,,,
10.0487,97.6611,0,,,,,,,,,,,,,,
9.74455,99.6657,0,,,,,,,,,,,,,,
9.7509,99.7343,0,,,,,,,,,,,,,,
9.65604,99.7613,2.66E-05,,,,,,,,,,,,,,
9.68067,99.7271,0.177619,,,,,,,,,,,,,,
9.73882,99.5008,2.58984,,,,,,,,,,,,,,
9.75899,98.5804,9.68485,,,,,,,,,,,,,,
9.8471,97.4396,18.4031,,,,,,,,,,,,,,
10.189,89.5392,21.9207,,,,,,,,,,,,,,
10.5039,78.5612,24.6253,,,,,,,,,,,,,,
10.7294,80.1262,23.8503,,,,,,,,,,,,,,
10.4319,80.6961,14.1277,,,,,,,,,,,,,,
10.2471,85.4206,4.82512,,,,,,,,,,,,,,
9.67858,90.4777,0.909638,,,,,,,,,,,,,,
9.78017,89.7828,0,,,,,,,,,,,,,,
9.98712,89.0514,0,,,,,,,,,,,,,,
10.4081,86.3943,0,,,,,,,,,,,,,,
10.4938,89.0368,0,,,,,,,,,,,,,,
10.5856,85.4812,0,,,,,,,,,,,,,,
10.6976,83.6734,0,,,,,,,,,,,,,,
10.7455,83.6815,0,,,,,,,,,,,,,,
10.5917,90.0228,0,,,,,,,,,,,,,,
9.93542,84.8576,0,,,,,,,,,,,,,,
8.35968,69.9052,0,,,,,,,,,,,,,,
8.00613,74.0366,0,,,,,,,,,,,,,,
7.08476,78.5253,0,,,,,,,,,,,,,,
6.50958,78.922,0,,,,,,,,,,,,,,
6.14616,78.8519,0.000214494,,,,,,,,,,,,,,
5.64836,81.9713,0.718382,,,,,,,,,,,,,,
5.97384,80.9633,8.10217,,,,,,,,,,,,,,
6.50583,79.6687,18.8722,,,,,,,,,,,,,,
7.26847,75.3377,26.7098,,,,,,,,,,,,,,
8.05555,71.7619,36.0682,,,,,,,,,,,,,,
8.38126,64.8256,42.598,,,,,,,,,,,,,,
8.9031,63.8615,43.3626,,,,,,,,,,,,,,
9.45412,62.303,72.8831,,,,,,,,,,,,,,
7.95241,67.5297,55.6206,,,,,,,,,,,,,,
6.1322,76.1097,12.4947,,,,,,,,,,,,,,
5.28099,81.8051,0,,,,,,,,,,,,,,
4.83775,84.6108,0,,,,,,,,,,,,,,
4.5044,87.767,0,,,,,,,,,,,,,,
5.1098,89.5759,0,,,,,,,,,,,,,,
5.77561,86.0402,0,,,,,,,,,,,,,,
5.22474,86.8053,0,,,,,,,,,,,,,,
4.64576,87.9444,0,,,,,,,,,,,,,,
4.76304,88.5123,0,,,,,,,,,,,,,,
4.63881,88.5844,0,,,,,,,,,,,,,,
4.75747,85.8668,0,,,,,,,,,,,,,,
4.50825,86.6052,0,,,,,,,,,,,,,,
4.26559,88.0294,0,,,,,,,,,,,,,,
4.08496,89.1168,0,,,,,,,,,,,,,,
3.57383,89.92,0.00575025,,,,,,,,,,,,,,
3.09178,89.5478,1.27474,,,,,,,,,,,,,,
3.43297,88.7943,7.70533,,,,,,,,,,,,,,
4.72312,83.9513,16.6294,,,,,,,,,,,,,,
5.95889,76.4976,23.1835,,,,,,,,,,,,,,
6.91829,72.0035,31.6342,,,,,,,,,,,,,,
7.26835,67.5104,39.1768,,,,,,,,,,,,,,
7.51551,63.8326,43.0342,,,,,,,,,,,,,,
7.86933,57.6752,62.9237,,,,,,,,,,,,,,
6.8161,61.2917,34.2912,,,,,,,,,,,,,,
5.65255,71.9066,3.5533,,,,,,,,,,,,,,
4.70172,71.9832,0,,,,,,,,,,,,,,
4.6039,74.8368,0,,,,,,,,,,,,,,
4.00505,81.03,0,,,,,,,,,,,,,,
4.05752,83.6321,0,,,,,,,,,,,,,,
5.33587,84.2799,0,,,,,,,,,,,,,,
5.85415,85.7225,0,,,,,,,,,,,,,,
6.01697,87.8019,0,,,,,,,,,,,,,,
6.17061,91.0366,0,,,,,,,,,,,,,,
6.18715,91.5724,0,,,,,,,,,,,,,,
6.2346,91.5423,0,,,,,,,,,,,,,,
6.23401,92.0396,0,,,,,,,,,,,,,,
6.44694,91.7772,0,,,,,,,,,,,,,,
6.37775,94.972,0,,,,,,,,,,,,,,
6.60795,97.9582,0.000133713,,,,,,,,,,,,,,
6.65545,99.487,0.153537,,,,,,,,,,,,,,
6.73283,98.7284,4.17867,,,,,,,,,,,,,,
7.23475,98.271,15.8006,,,,,,,,,,,,,,
7.95792,96.9175,40.6213,,,,,,,,,,,,,,
9.19097,86.182,64.1924,,,,,,,,,,,,,,
9.65018,84.3311,61.8022,,,,,,,,,,,,,,
9.86496,84.2472,46.3758,,,,,,,,,,,,,,
9.64852,85.1558,30.5364,,,,,,,,,,,,,,
8.86406,82.6967,14.21,,,,,,,,,,,,,,
8.21322,78.2636,3.10417,,,,,,,,,,,,,,
7.98854,77.106,0,,,,,,,,,,,,,,
7.71288,78.2564,0,,,,,,,,,,,,,,
7.65655,81.4264,0,,,,,,,,,,,,,,
7.88518,86.8137,0,,,,,,,,,,,,,,
8.19521,85.6608,0,,,,,,,,,,,,,,
8.19914,86.2297,0,,,,,,,,,,,,,,
8.46358,87.5092,0,,,,,,,,,,,,,,
8.45541,89.817,0,,,,,,,,,,,,,,
8.56141,91.1641,0,,,,,,,,,,,,,,
8.70744,90.9796,0,,,,,,,,,,,,,,
8.73266,91.5206,0,,,,,,,,,,,,,,
8.91292,90.8804,0,,,,,,,,,,,,,,
9.07184,88.34,0,,,,,,,,,,,,,,
9.08604,88.1646,0.00338525,,,,,,,,,,,,,,
9.58198,85.9497,0.679051,,,,,,,,,,,,,,
10.1777,83.6373,10.2813,,,,,,,,,,,,,,
10.9594,78.5318,26.4004,,,,,,,,,,,,,,
11.8159,74.5154,47.1168,,,,,,,,,,,,,,
11.3808,83.7345,44.9939,,,,,,,,,,,,,,
